spp_name_informal,species_code,middle_sentences
yellow irish lord,21347,"Yellow Irish lords were primarily caught at stations shallower than 300 m and were most abundant in the 100–200 m depth stratum of the Eastern AI. They were not particularly abundant in the Western AI. Across all survey districts there does not appear to be a strong trend in length with depth of capture. Female length distributions were consistently unimodal through time, with a median length of 37 cm in recent surveys. Male length distributions appear to be more variable and have had a greater median length since 2014 (median length 43 cm F.L. in 2022)."
sablefish,20510,"Sablefish were caught in all depth intervals sampled in the SBS, but did not occur in catches shallower than 100 m in the Aleutian districts. The highest CPUEs for this species occurred between 200 and 500 m throughout the survey area and the SBS had the highest CPUEs in this depth range compared to the other survey districts. There does not appear to be a consistent relationship between sablefish length and depth of capture across the survey area though it does appear that smaller individuals are found shallower in the SBS. Female and male length frequencies are similar through time. Over the three most recent Aleutian surveys since 2016, there has been a slight increase in median length in male sablefish (46 cm F.L. in 2016; 54 cm F.L. in 2022)."
arrowtooth flounder,10110,Confident identification and separation of arrowtooth flounder from its close congener Kamchatka flounder on Aleutian surveys began in 1994. Arrowtooth flounder were caught throughout the survey area and in all depth intervals. Their CPUE was higher at all depths sampled in the SBS compared to other survey districts though the highest arrowtooth flounder biomass estimate came from the Eastern AI. There is a consistent trend across survey districts of arrowtooth flounder length increasing with depth of capture. There do not appear to be any trends in the length frequency distributions over time: median lengths have remained relatively constant for a given sex over the survey period. The median length of females is higher than that of males (41 cm F.L. vs. 38 cm F.L.) and females achieve much larger maximum length than males.
atka mackerel,21921,Atka mackerel were most abundant in the Aleutian survey districts though they were caught in all survey districts and at nearly all survey depths. Their highest CPUEs were generally recorded in the 101–200 m depth interval with their highest biomass estimated in the Eastern and Western AI. The relationship of Atka mackerel length with depth suggests a length maximum at about 200 m capture depth. Female and male length frequency distributions have remained fairly consistent through the last 2 decades with no clear trend in median length for either sex.
Pacific cod,21720,"Pacific cod occurred throughout the survey districts at all depths with the exception of the 301–500 m depth interval in the Central AI. The highest Pacific cod CPUEs were recorded in the SBS and high CPUEs were consistently recorded shallower than 200 m in all districts. There appears to be a length maximum for Pacific cod caught between 101 and 200 m, but there is no clear trend of length with depth. Female and male length distributions have varied slightly over time in the Aleutian Islands survey area, oscillating around median lengths of 56 and 57 cm F.L., respectively."
Pacific ocean perch,30060,"Pacific ocean perch were caught in all depths and all districts of the Aleutian survey. They were most abundant in the Western AI at depths between 200 and 300 m and least abundant in the SBS. Pacific ocean perch length appears to increase with increasing depth up to around 250 m. Female and male length frequency distributions were primarily unimodal with a high degree of overlap in the length ranges between the sexes, centered around 36.5 cm. There does not appear to be a trend in median length during the time series."
walleye pollock,21740,"Walleye pollock occurred in trawl catches throughout the survey area and at all depths sampled. The highest pollock CPUE was recorded from the SBS between 100 and 200 m depths, while the highest biomass estimate for all depths combined came from the Eastern AI. Walleye pollock length increased with depth of capture across the survey area. Female and male length frequency distributions over time have changed over time and do not show a strong pattern over the course of the survey."
rougheye rockfish,30051,"The identification and separation of rougheye rockfish from its close congener blackspotted rockfish began on Aleutian surveys in 2006. Rougheye rockfish occur in very low numbers in Aleutian Islands survey trawl catches so it is difficult to confidently identify and interpret patterns in these data. They were more common in the SBS and Eastern AI than in other survey districts and they were collected in all depth intervals sampled in the SBS, but were only caught below 100 m depth in the Aleutian districts. Data were insufficient to draw a conclusion about the relationship between rougheye rockfish length and depth of capture. Expanded length frequencies suggest that males may achieve a larger maximum length than females in our samples and that the median length of both sexes are lower in 2022 than when we last sampled the region in 2018."
blackspotted rockfish,30052,"The identification and separation of blackspotted rockfish from its close congener rougheye rockfish began on Aleutian surveys in 2006. Blackspotted rockfish are somewhat more abundant in Aleutian Islands survey trawl catches than rougheye rockfish. They were caught in all survey districts, occurring primarily between depths of 100 and 300 m and were more abundant in the Aleutian districts than in SBS. The highest blackspotted rockfish CPUE occurred in the Eastern AI in 300–500 m with the highest total district biomass estimated for the Eastern AI as well. Blackspotted rockfish length increased with increasing depth of capture across all survey districts while length frequency distributions and median lengths remained fairly consistent within and across survey years."
Northern rock sole,10261,The identification and separation of northern rock sole from its close congener southern rock sole began on the 1997 Aleutian Islands survey. Northern rock sole occurred throughout the Aleutian survey area. They were commonly caught in water shallower than 300 m with the highest CPUE observed in the Central AI. Northern rock sole lengths increased with increasing depth of capture and females appear to grow longer than males (36 cm median F.L. for females; 30 cm for males). Female and male length modes were similar and consistent through time with no trend in median length over the survey years.
shortraker rockfish,30576,Most shortraker rockfish catches occurred in depths between 300 and 500 m in the Aleutian districts; few shortrakers were caught in the SBS. The highest CPUE and biomass estimates for this species came from the Central and Eastern AI. There was no clear relationship between shortraker length and depth of capture. Female and male length frequency distributions were similar through time with no clear trend in median length over the survey years.
Aleutian skate,472,"Aleutian skate were caught throughout the survey area and at all depths but were most frequently encountered at depths between 100 and 200 m in the Eastern AI and <100 m in the SBS. The highest estimated biomass of Aleutian skate occurred between 100–200 m in the SW Eastern AI and Eastern SBS as well as between 200 and 300 m in the E Western AI. Male and female Aleutian skates had a similar mode around 110 cm total length (T.L.) In the Eastern AI where Aleutian skates were most common, total lengths were similar across depths."
white blotched skate,480,"Although whiteblotched skates were caught throughout the AI and at all depths, they were caught most frequently at depths of 100–200 m in the Western and Eastern AI, and had a high estimated biomass across all depth strata in the Eastern AI. Male and female length frequencies both appear to be bimodal, with no consistent length differences between males and females across survey years. There were no strong patterns of total length with depth."
