STRATUM,STATION_TYPE,STATIONID,LONGITUDE,LATITUDE,VESSEL
211,prescribed,52-39,173.8329,52.65673,176
211,prescribed,48-32,173.5335,52.3456,176
211,prescribed,13-49,170.9048,53.10004,176
211,prescribed,44-46,173.2324,52.96683,148
211,prescribed,39-48,172.8537,53.05631,148
211,prescribed,58-37,174.2943,52.57252,148
211,new_stn,NA,,,148
212,prescribed,60-36,174.43,52.52896,176
212,prescribed,57-35,174.2101,52.47798,176
212,prescribed,36-42,172.6416,52.78843,176
212,prescribed,34-44,172.4805,52.87556,176
212,prescribed,40-35,172.9613,52.48196,176
212,prescribed,38-39,172.7962,52.66074,176
212,prescribed,40-38,172.9361,52.61076,176
212,prescribed,55-36,174.0598,52.5222,176
212,prescribed,37-40,172.7371,52.68013,176
212,prescribed,50-28,173.6892,52.18269,176
212,prescribed,13-49,170.8743,53.12075,176
212,prescribed,56-33,174.135,52.38968,176
212,prescribed,12-53,170.8256,53.2744,176
212,prescribed,40-36,172.9553,52.52671,176
212,prescribed,43-47,173.1707,53.02053,176
212,prescribed,58-34,174.2692,52.44621,176
212,prescribed,35-43,172.5519,52.83296,176
212,prescribed,13-52,170.8909,53.23582,148
212,prescribed,40-48,172.9315,53.07411,148
212,prescribed,37-49,172.7238,53.08916,148
212,prescribed,47-29,173.462,52.23029,148
212,prescribed,57-36,174.2101,52.5222,148
212,prescribed,14-50,170.9725,53.14597,148
212,prescribed,59-35,174.3529,52.49102,148
212,prescribed,14-45,170.9683,52.93947,148
212,prescribed,13-46,170.9027,52.96629,148
212,prescribed,13-45,170.9005,52.93287,148
212,prescribed,38-40,172.7817,52.69951,148
212,prescribed,14-49,170.9803,53.11783,148
212,prescribed,43-35,173.1576,52.47798,148
212,prescribed,35-42,172.5602,52.80278,148
212,prescribed,41-48,173.006,53.06241,148
212,prescribed,46-35,173.3823,52.47896,148
212,prescribed,43-32,173.1819,52.3523,148
212,prescribed,50-43,173.6861,52.83296,148
212,prescribed,51-43,173.7533,52.83296,148
212,prescribed,12-50,170.8486,53.15183,148
212,prescribed,12-52,170.827,53.23582,148
212,bonus_stn,NA,,,
212,bonus_stn,NA,,,
212,bonus_stn,NA,,,
213,prescribed,10-54,170.6569,53.32155,176
213,prescribed,31-44,172.2532,52.86541,176
213,prescribed,48-29,173.5294,52.21092,176
213,prescribed,39-38,172.8511,52.61382,176
213,prescribed,40-36,172.9342,52.52534,176
213,prescribed,10-53,170.6704,53.2864,148
213,prescribed,31-46,172.2554,52.96683,148
213,prescribed,33-43,172.4077,52.83296,148
213,prescribed,49-28,173.6107,52.18522,148
213,prescribed,58-33,174.2818,52.40109,148
213,prescribed,59-35,174.3684,52.46817,148
213,bonus_stn,NA,,,
214,prescribed,29-43,172.1087,52.81865,176
214,prescribed,60-33,174.4302,52.40565,176
214,prescribed,31-43,172.252,52.83452,176
214,prescribed,60-34,174.4357,52.43381,148
214,prescribed,58-33,174.3101,52.38092,148
214,prescribed,9-54,170.604,53.33286,148
214,prescribed,24-49,171.6996,53.10677,148
221,prescribed,79-32,175.8652,52.3456,176
221,prescribed,79-21,175.8651,51.85175,176
221,prescribed,80-31,175.9407,52.31877,176
221,prescribed,80-19,175.9224,51.78658,148
221,prescribed,78-18,175.789,51.73296,148
221,prescribed,84-29,176.2191,52.20018,148
221,prescribed,79-33,175.8564,52.38959,148
222,prescribed,76-16,175.6486,51.64612,176
222,prescribed,80-31,175.9484,52.29698,176
222,prescribed,91-23,176.761,51.96798,176
222,prescribed,81-32,176.008,52.34855,176
222,prescribed,79-25,175.8886,52.04321,176
222,prescribed,79-21,175.8688,51.8739,176
222,prescribed,81-30,176.0275,52.25756,176
