"SPECIES_CODE","COMMON_NAME","SPECIES_NAME","TOTAL_WEIGHT_KG","TOTAL_COUNT"
40035,"bushy white hydroid","Abietinaria greenei",0.072,2
40034,"","Abietinaria sp.",0.319,
40036,"white tangled hydroid","Abietinaria sp. A (Clark 2006)",0.01,
69285,"fuzzy crab","Acantholithodes hispidus",0.943,19
43000,"sea anemone unid.","Actiniaria",1.662,55
43080,"actinid sea anemones unid.","Actiniidae",0.834,15
40506,"","Aequorea sp.",42.096,149
40028,"ostrich plume hydroid","Aglaophenia sp.",2.578,
20000,"poacher unid.","Agonidae",0.045,1
41591,"","Alaskagorgia aleutiana",0.148,
41590,"","Alaskagorgia sp.",3.652,
21230,"giant grenadier","Albatrossia pectoralis",2781.16,766
41100,"soft coral unid.","Alcyonacea",0.034,
95036,"fruit leather bryozoan","Alcyonidium pedunculatum",4.337,
95038,"","Alcyonidium sp.",0.117,1
95037,"medusa bryozoan","Alcyonidium sp. A",0.517,
41102,"","Alcyonium sp.",1.75,23
22270,"","Allocareproctus sp.",0.012,1
22273,"whiskered snailfish","Allocareproctus ungak",0.054,3
98303,"sand-grain imbedded ascidian","Amaroucium soldatovi",1.985,
20204,"Pacific sand lance","Ammodytes personatus",4.539,57
20202,"sand lance unid.","Ammodytes sp.",0.885,12
20320,"wolf-eel","Anarrhichthys ocellatus",7.8,1
75610,"falsejingle unid.","Anomiidae",0.744,12
20510,"sablefish","Anoplopoma fimbria",5268.889,3068
41300,"","Anthomastus sp.",0.677,1
41000,"","Anthozoa",0.583,7
41526,"","Antipathes sp.",0.102,
91030,"clay pipe sponge","Aphrocallistes vastus",306.254,
50192,"","Aphrodita negligens",0.053,2
22175,"smooth lumpsucker","Aptocyclus ventricosus",0.774,70
21359,"scaled sculpin","Archistes biseriatus",0.068,3
72791,"","Arctomelon borealis",0.13,1
72789,"","Arctomelon sp.",0.088,2
72790,"Alaska volute","Arctomelon stearnsii",0.669,6
72792,"","Arctomelon tamikoae",1.518,7
62005,"","Arcturus sp.",0.003,2
66580,"Arctic argid","Argis dentata",0.097,17
66613,"Nelson argid","Argis levior",0.017,1
66570,"","Argis sp.",0.001,1
91267,"","Artemisina arcigera",2.29,3
44098,"","Arthrogorgia sp.",0.232,
91251,"fuzzy sponge","Asbestopluma sp. A (Clark 2006)",0.554,
98322,"glassy tunicate","Ascidia paratropa",0.387,
98000,"tunicate unid.","Ascidiacea",3.98,14
20050,"Aleutian alligatorfish","Aspidophoroides monopterygius",0.005,1
81742,"purple-orange sea star","Asterias amurensis",0.165,2
80000,"sea star unid.","Asteroidea",0.035,4
83070,"serpent sea star","Asteronyx loveni",0.016,1
10112,"Kamchatka flounder","Atheresthes evermanni",1767.213,2788
10110,"arrowtooth flounder","Atheresthes stomias",10787.998,14757
40510,"","Atolla sp.",1.85,10
91710,"vase sponge","Aulosaccus schulzei",16.067,7
40512,"","Aurelia labiata",4.665,12
91064,"firm finger sponge","Axinella blanca",36.387,
91230,"firm gray sponge","Axinella sp.",2.097,
65206,"","Balanus nubilus",0.136,2
65205,"beaked barnacle","Balanus rostratus",1.884,
65201,"","Balanus sp.",0.077,3
20037,"bigeye poacher","Bathyagonus pentacanthus",0.026,1
20614,"deepsea smelt unid.","Bathylagidae",0.489,16
20620,"robust blacksmelt","Bathylagus milleri",0.052,1
20619,"blacksmelt unid.","Bathylagus sp.",0.234,11
20712,"Alaskan ronquil","Bathymaster caeruleofasciatus",0.13,1
20720,"searcher","Bathymaster signatus",26.69,134
85180,"","Bathyplotes sp.",2.047,56
472,"Aleutian skate","Bathyraja aleutica",291.406,38
473,"Aleutian skate egg case","Bathyraja aleutica egg case",0.082,2
435,"Bering skate","Bathyraja interrupta",9.889,5
436,"Bering skate egg case","Bathyraja interrupta egg case",0.03,3
475,"Commander skate","Bathyraja lindbergi",4.264,1
480,"whiteblotched skate","Bathyraja maculata",3553.903,565
481,"whiteblotched skate egg case","Bathyraja maculata egg case",5.682,145
483,"butterfly skate","Bathyraja mariposa",40.125,35
484,"butterfly skate egg case","Bathyraja mariposa egg case",0.008,1
477,"leopard skate","Bathyraja panthera",135.297,23
478,"leopard skate egg case","Bathyraja panthera egg case",0.418,3
