spp_name_informal,species_code,middle_sentences
arrowtooth flounder,10110,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
Northern rock sole,10261,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
Southern rock sole,10262,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
Pacific halibut,10120,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
flathead sole,10130,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
rex sole,10200,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
Dover sole,10180,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
Pacific cod,21720,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
walleye pollock,21740,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
Atka mackerel,21921,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
sablefish,20510,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
giant grenadier,21230,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
Pacific ocean perch,30060,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
northern rockfish,30420,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
rougheye rockfish,30051,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
blackspotted rockfish,30052,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
dusky rockfish,30152,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
dark rockfish,30151,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
shortraker rockfish,30576,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
shortspine thornyhead,30020,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
silvergray rockfish,30100,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
harlequin rockfish,30535,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
Alaska skate,471,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
Aleutian skate,472,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
Bering skate,435,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
Big skate,420,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
longnose skate,440,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
eulachon,23010,NOTE: NEED TO ADD AUTOMATED BULLETS HERE. THIS IS JUST A PLACEHOLDER.
