complex,species_code,species_name,common_name,region
OROX,30010,Sebastolobus sp.,thornyhead unid.,AI
OROX,30020,Sebastolobus alascanus,shortspine thornyhead,AI
OROX,30025,Sebastolobus macrochir,broadfin thornyhead,AI
OROX,30330,Sebastes melanops,black rockfish,AI
OROX,30430,Sebastes proriger,redstripe rockfish,AI
OROX,30470,Sebastes ruberrimus,yelloweye rockfish,AI
OROX,30475,Sebastes babcocki,redbanded rockfish,AI
OROX,30535,Sebastes variegatus,harlequin rockfish,AI
OROX,30560,Sebastes zacentrus,sharpchin rockfish,AI
OROX,30600,Sebastes reedi,yellowmouth rockfish,AI
OROX,30030,Sebastolobus altivelis,longspine thornyhead,AI
OROX,30040,Sebastes sp.,rockfish unid.,AI
OROX,30100,Sebastes brevispinis,silvergray rockfish,AI
OROX,30150,NA,dusky and dark rockfishes unid.,AI
OROX,30152,Sebastes variabilis,dusky rockfish,AI
OROX,30170,Sebastes crameri,darkblotched rockfish,AI
OROX,30270,Sebastes helvomaculatus,rosethorn rockfish,AI
OFLATS,10155,Liopsetta glacialis,Arctic flounder,AI
OFLATS,10270,Isopsetta isolepis,butter sole,AI
OFLATS,10280,Pleuronichthys decurrens,curlfin sole,AI
OFLATS,10190,Embassichthys bathybius,deepsea sole,AI
OFLATS,10180,Microstomus pacificus,Dover sole,AI
OFLATS,10170,Parophrys vetulus,English sole,AI
OFLATS,10211,Limanda proboscidea,longhead dab,AI
OFLATS,10010,Citharichthys sordidus,Pacific sanddab,AI
OFLATS,10200,Glyptocephalus zachirus,petrale sole,AI
OFLATS,10200,Glyptocephalus zachirus,rex sole,AI
OFLATS,10240,Clidoderma asperrimum,roughscale sole,AI
OFLATS,10250,Psettichthys melanostictus,sand sole,AI
OFLATS,10150,Lyopsetta exilis,slender sole,AI
OFLATS,10220,Platichthys stellatus,starry flounder,AI
OFLATS,10212,Limanda sakhalinensis,Sakhalin sole,AI
REBS,30051,Sebastes aleutianus,rougheye rockfish,AI
REBS,30052,Sebastes melanostictus,blackspotted rockfish,AI
REBS,30050,NA,rougheye and blackspotted rockfish unid,AI
