"SURVEY","STRATUM","AREA","PERIMETER","INPFC_AREA","MIN_DEPTH","MAX_DEPTH","DESCRIPTION","SUMMARY_AREA","SUMMARY_DEPTH","SUMMARY_AREA_DEPTH","REGULATORY_AREA_NAME","STRATUM_TYPE"
"GOA",10,8332.718,1700.816,"Shumagin",1,100,"Fox Islands                   ",919,991,911,"WESTERN GOA","SHELF"
"GOA",11,13681.241,868.189,"Shumagin",1,100,"Davidson Bank                 ",919,991,911,"WESTERN GOA","SHELF"
"GOA",12,6875.823,1918.516,"Shumagin",1,100,"Lower Alaska Peninsula        ",919,991,911,"WESTERN GOA","SHELF"
"GOA",13,12398.789,1783.463,"Shumagin",1,100,"Shumagin Bank                 ",919,991,911,"WESTERN GOA","SHELF"
"GOA",20,7940.852,2470.078,"Chirikof",1,100,"Upper Alaska Peninsula        ",929,991,921,"CENTRAL GOA","SHELF"
"GOA",21,7302.086,632.708,"Chirikof",1,100,"Semidi Bank                   ",929,991,921,"CENTRAL GOA","SHELF"
"GOA",22,10792.012,961.835,"Chirikof",1,100,"Chirikof Bank                 ",929,991,921,"CENTRAL GOA","SHELF"
"GOA",30,5766.075,2047.126,"Kodiak",1,100,"Albatross Shallows            ",939,991,931,"CENTRAL GOA","SHELF"
"GOA",31,15403.147,1309.388,"Kodiak",1,100,"Albatross Banks               ",939,991,931,"CENTRAL GOA","SHELF"
"GOA",32,9886.88,837.051,"Kodiak",1,100,"Lower Cook Inlet              ",939,991,931,"CENTRAL GOA","SHELF"
"GOA",33,5260.082,2272.262,"Kodiak",1,100,"Kenai Peninsula               ",939,991,931,"CENTRAL GOA","SHELF"
"GOA",35,2199.622,1414.556,"Kodiak",1,100,"Northern Kodiak Shallows      ",939,991,931,"CENTRAL GOA","SHELF"
"GOA",40,9947.134,1722.954,"Yakutat",1,100,"Yakutat Shallows              ",949,991,941,"EASTERN GOA","SHELF"
"GOA",41,6714.31,904.018,"Yakutat",1,100,"Middleton Shallows            ",949,991,941,"EASTERN GOA","SHELF"
"GOA",50,6546.325,3271.581,"Southeastern",1,100,"Southeastern Shallows         ",959,991,951,"EASTERN GOA","SHELF"
"GOA",110,4245.316,639.47,"Shumagin",101,200,"Sanak Gully                   ",919,992,912,"WESTERN GOA","GULLY"
"GOA",111,8153.739,2081.775,"Shumagin",101,200,"Shumagin Outer Shelf          ",919,992,912,"WESTERN GOA","SHELF"
"GOA",112,2278.242,348.565,"Shumagin",101,200,"West Shumagin Gully           ",919,992,912,"WESTERN GOA","GULLY"
"GOA",120,11104.039,962.173,"Chirikof",101,200,"East Shumagin Gully           ",929,992,922,"CENTRAL GOA","GULLY"
"GOA",121,7734.619,1843.775,"Chirikof",101,200,"Shelikof Edge                 ",929,992,922,"CENTRAL GOA","SHELF"
"GOA",122,5010.738,898.952,"Chirikof",101,200,"Chirikof Outer Shelf          ",929,992,922,"CENTRAL GOA","SHELF"
"GOA",130,7911.775,1287.377,"Kodiak",101,200,"Albatross Gullies             ",939,992,932,"CENTRAL GOA","GULLY"
"GOA",131,7336.402,534.75,"Kodiak",101,200,"Portlock Flats                ",939,992,932,"CENTRAL GOA","SHELF"
"GOA",132,10980.778,745.385,"Kodiak",101,200,"Barren Islands                ",939,992,932,"CENTRAL GOA","SHELF"
"GOA",133,12077.011,989.657,"Kodiak",101,200,"Kenai Flats                   ",939,992,932,"CENTRAL GOA","SHELF"
"GOA",134,5025.806,1235.143,"Kodiak",101,200,"Kodiak Outer Shelf            ",939,992,932,"CENTRAL GOA","SHELF"
"GOA",140,7345.605,992.786,"Yakutat",101,200,"Middleton Shelf               ",949,992,942,"EASTERN GOA","SHELF"
"GOA",141,5276.558,756.103,"Yakutat",101,200,"Yakataga Shelf                ",949,992,942,"EASTERN GOA","SHELF"
"GOA",142,9031.904,426.338,"Yakutat",101,200,"Yakutat Flats                 ",949,992,942,"EASTERN GOA","SHELF"
"GOA",143,7727.531,729.892,"Yakutat",101,200,"Fairweather Shelf             ",949,992,942,"EASTERN GOA","SHELF"
"GOA",150,4196.382,808.483,"Southeastern",101,200,"Baranof-Chichagof Shelf       ",959,992,952,"EASTERN GOA","SHELF"
"GOA",151,6887.844,1094.22,"Southeastern",101,200,"Prince of Wales Shelf         ",959,992,952,"EASTERN GOA","SHELF"
"GOA",210,2787.949,1878.436,"Shumagin",201,300,"Shumagin Slope                ",919,993,913,"WESTERN GOA","SLOPE"
"GOA",220,10017.785,678.285,"Chirikof",201,300,"Lower Shelikof Gully          ",929,993,923,"CENTRAL GOA","GULLY"
"GOA",221,1528.313,832.464,"Chirikof",201,300,"Chirikof Slope                ",929,993,923,"CENTRAL GOA","SLOPE"
"GOA",230,6659.46,1012.591,"Kodiak",201,300,"Kenai Gullies                 ",939,993,933,"CENTRAL GOA","GULLY"
"GOA",231,1622.614,1004.86,"Kodiak",201,300,"Kodiak Slope                  ",939,993,933,"CENTRAL GOA","SLOPE"
"GOA",232,3208.227,333.202,"Kodiak",201,300,"Upper Shelikof Gully          ",939,993,933,"CENTRAL GOA","GULLY"
"GOA",240,3042.703,857.375,"Yakutat",201,300,"Yakutat Gullies               ",949,993,943,"EASTERN GOA","GULLY"
"GOA",241,2127.348,1421.962,"Yakutat",201,300,"Yakutat Slope                 ",949,993,943,"EASTERN GOA","SLOPE"
"GOA",250,1125.262,666.829,"Southeastern",201,300,"Baranof-Chichagof Slope       ",959,993,953,"EASTERN GOA","SLOPE"
"GOA",251,3927.061,1157.364,"Southeastern",201,300,"Prince of Wales Slope/Gullies ",959,993,953,"EASTERN GOA","SLOPE"
"GOA",310,2531.101,1778.137,"Shumagin",301,500,"Shumagin Slope                ",919,994,914,"WESTERN GOA","SLOPE"
"GOA",320,1603.961,805.575,"Chirikof",301,500,"Chirikof Slope                ",929,994,924,"CENTRAL GOA","SLOPE"
"GOA",330,2911.769,1337.188,"Kodiak",301,500,"Kodiak Slope                  ",939,994,934,"CENTRAL GOA","SLOPE"
"GOA",340,1107.196,276.361,"Yakutat",301,500,"Yakutat Gullies               ",949,994,944,"EASTERN GOA","GULLY"
"GOA",341,1520.577,1427.265,"Yakutat",301,500,"Yakutat Slope                 ",949,994,944,"EASTERN GOA","SLOPE"
"GOA",350,2344.327,460.034,"Southeastern",301,500,"Southeastern Deep Gullies     ",959,994,954,"EASTERN GOA","GULLY"
"GOA",351,772.66,1003.884,"Southeastern",301,500,"Southeastern Slope            ",959,994,954,"EASTERN GOA","SLOPE"
"GOA",410,2005.603,1847.096,"Shumagin",501,700,"Shumagin Slope                ",919,995,915,"WESTERN GOA","SLOPE"
"GOA",420,1953.21,840.567,"Chirikof",501,700,"Chirikof Slope                ",929,995,925,"CENTRAL GOA","SLOPE"
"GOA",430,1744.835,1276.398,"Kodiak",501,700,"Kodiak Slope                  ",939,995,935,"CENTRAL GOA","SLOPE"
"GOA",440,1469.256,1434.651,"Yakutat",501,700,"Yakutat Slope                 ",949,995,945,"EASTERN GOA","SLOPE"
"GOA",450,1033.46,1052.722,"Southeastern",501,700,"Southeastern Slope            ",959,995,955,"EASTERN GOA","SLOPE"
"GOA",510,1937.22,1932.281,"Shumagin",701,1000,"Shumagin Slope                ",919,996,916,"WESTERN GOA","SLOPE"
"GOA",520,3065.55,869.313,"Chirikof",701,1000,"Chirikof Slope                ",929,996,926,"CENTRAL GOA","SLOPE"
