"CRUISEJOIN","HAULJOIN","CATCHJOIN","REGION","VESSEL","CRUISE","HAUL","SPECIES_CODE","LENGTH","FREQUENCY","SEX","SAMPLE_TYPE","LENGTH_TYPE"
NA,NA,NA,"GOA",41,199903,368,21740,500,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,510,7,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,520,8,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,530,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,540,6,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,550,7,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,560,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,570,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,580,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,600,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,620,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,630,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,640,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,650,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21740,740,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,30430,280,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,369,405,130,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,369,405,300,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,369,405,320,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,369,405,330,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,369,405,740,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,369,440,120,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,369,440,150,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,369,440,260,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,369,440,320,1,3,NA,NA
