"CRUISEJOIN","HAULJOIN","REGION","VESSEL","CRUISE","HAUL","SPECIMENID","BIOSTRATUM","SPECIES_CODE","LENGTH","SEX","WEIGHT","AGE","MATURITY","MATURITY_TABLE","SAMPLE_CODE","GONAD_WT"
NA,NA,"GOA",41,200001,362,493,0,21740,490,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,361,497,0,21740,500,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,360,501,0,21740,560,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,359,505,0,21740,510,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,359,509,0,21740,460,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,376,514,0,21740,570,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,375,518,0,21740,460,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,374,522,0,21740,440,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,372,526,0,21740,410,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,371,530,0,21740,460,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,388,535,0,21740,560,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,387,539,0,21740,470,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,193,298,0,21740,610,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,210,302,0,21740,530,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,205,307,0,21740,530,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,205,311,0,21740,520,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,206,315,0,21740,560,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,111,174,0,21740,630,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,115,178,0,21740,480,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,130,182,0,21740,510,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,130,187,0,21740,610,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,130,191,0,21740,500,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,130,195,0,21740,450,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,322,444,0,21740,520,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,322,448,0,21740,500,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,335,453,0,21740,250,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,334,457,0,21740,270,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,332,461,0,21740,540,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,331,465,0,21740,320,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,330,469,0,21740,470,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,348,474,0,21740,460,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,347,478,0,21740,560,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,346,482,0,21740,400,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,345,486,0,21740,470,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,344,490,0,21740,520,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,133,201,0,21740,570,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,133,205,0,21740,600,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,134,209,0,21740,600,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,136,213,0,21740,480,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,74,118,0,21740,640,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,90,122,0,21740,490,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,90,126,0,21740,540,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,91,130,0,21740,480,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,91,134,0,21740,420,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,92,138,0,21740,430,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,99,142,0,21740,600,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,98,146,0,21740,550,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,32,52,0,21740,650,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,32,56,0,21740,610,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,41,60,0,21740,410,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,41,64,0,21740,570,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,0,68,0,21740,530,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,0,72,0,21740,520,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,43,76,0,21740,530,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,45,80,0,21740,510,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,57,84,0,21740,490,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,58,88,0,21740,450,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,54,92,0,21740,560,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,54,96,0,21740,460,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,349,471,0,21740,450,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,349,472,0,21740,560,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,349,473,0,21740,420,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,348,475,0,21740,470,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,348,476,0,21740,510,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,347,477,0,21740,580,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,346,479,0,21740,500,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,346,480,0,21740,340,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,346,481,0,21740,410,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,345,483,0,21740,560,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,345,484,0,21740,510,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,345,485,0,21740,540,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,344,487,0,21740,330,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,344,488,0,21740,630,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,344,489,0,21740,450,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,130,197,0,21740,470,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,130,198,0,21740,420,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,130,199,0,21740,450,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,130,200,0,21740,330,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,133,202,0,21740,590,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,133,203,0,21740,580,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,133,204,0,21740,670,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,134,206,0,21740,650,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,134,207,0,21740,620,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,134,208,0,21740,580,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,134,210,0,21740,530,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,136,211,0,21740,570,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,136,212,0,21740,510,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,136,214,0,21740,550,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,136,215,0,21740,500,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,141,216,0,21740,570,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,141,217,0,21740,470,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,141,218,0,21740,610,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,141,219,0,21740,600,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,141,220,0,21740,570,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,154,221,0,21740,610,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,154,222,0,21740,440,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,154,223,0,21740,560,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,154,224,0,21740,490,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,154,225,0,21740,490,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,152,226,0,21740,410,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,152,227,0,21740,450,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,152,228,0,21740,500,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,152,229,0,21740,510,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,152,230,0,21740,440,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,151,231,0,21740,390,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,151,232,0,21740,490,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,151,233,0,21740,400,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,151,234,0,21740,460,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,151,235,0,21740,670,2,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,149,236,0,21740,370,1,NA,NA,NA,NA,1010,NA
NA,NA,"GOA",41,200001,149,237,0,21740,390,2,NA,NA,NA,NA,1010,NA
